16.08.2022;VR Bank Filiale Gotha;Auszahlung Münzgeld Sommerkino 2022;-1.565,00 €;2022-11-06-0014
16.08.2022;VR Bank Filiale Gotha;Einzahlung Bargeld Sommerkino 2022;3.010,00 €;2022-11-06-0013
15.08.2022;Hoffmann Nürnberg GmbH;Einkauf Verlängerungskabel (3*25m);-92,79 €;2022-08-30-0037
15.08.2022;Haubold + Sperling GmbH;Druckkosten SPIO Tickets Sommerkino 2022;-459,36 €;221119
15.08.2022;Emilio Wietschel;DJ Gage Sommerkino Opening 2022;-150,00 €;RE002
15.08.2022;Robert Krüger;DJ Gage Sommerkino Opening 2022;-250,00 €;RE0008
12.08.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;95,88 €;R1J7F0
12.08.2022;Nöhrhoff e.K. Tino Nöhrhoff;Sponsoring Sommerkino 2022;300,00 €;Jul 22
11.08.2022;Lisa Goudriaan;Mitgliedsbeitrag 2022;40,00 €;
11.08.2022;Paypal;Auszahlung Ticketverkäufe Website Sommerkino;581,06 €;4Y421929XV9989402
11.08.2022;VR Bank Filiale Ohrdruf;Einzahlung Münzgeld Sommerkino 2022;75,00 €;
11.08.2022;VR Bank Filiale Ohrdruf;Auszahlung Bargeld Sommerkino 2022;-500,00 €;
11.08.2022;VR Bank Filiale Ohrdruf;Auszahlung Bargeld Sommerkino 2022;-500,00 €;
11.08.2022;VR Bank Filiale Ohrdruf;Einzahlung Bargeld Sommerkino 2022;500,00 €;
11.08.2022;VR Bank Filiale Ohrdruf;Auszahlung Münzgeld Sommerkino 2022;-500,00 €;
11.08.2022;VR Bank Filiale Ohrdruf;Auszahlung Münzgeld Sommerkino 2022;-875,00 €;
08.08.2022;Flyeralarm (Ratepay);Druckkosten Einlassbändchen Sommerkino Opening 22;-167,10 €;DE221765834
04.08.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;58,95 €;G5J3U8
04.08.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;35,65 €;D6M2D8
04.08.2022;Haubold + Sperling GmbH;Rückzahlung Miete Ticketdrucker August 2022;105,91 €;221051
02.08.2022;Moritz Tanz + Joachim Tanz;Mitgliedsbeitrag 2022;80,00 €;
02.08.2022;Paypal;Einkauf Konfettikanonen HKR (Teil von PP Guthaben);-22,75 €;HKR20799
02.08.2022;Fxdeco Ingbert Völker;Miete Lichterketten Sommerkino 2022;-296,31 €;RE1269
02.08.2022;Logando Display & Media Solutions;Miete + Kaution Projektionstechnik Sommerkino 2022;-3.100,75 €;R2201012
01.08.2022;Stadt Tambach-Dietharz ;Sponsoring Sommerkino 2022;500,00 €;15-2022
28.07.2022;Holger Tanz;Mitgliedsbeitrag 2022;40,00 €;
28.07.2022;Christina Tanz;Mitgliedsbeitrag 2022;40,00 €;
28.07.2022;Julius Zink;Mitgliedsbeitrag 2022;40,00 €;
27.07.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;15,53 €;W2O8O9
27.07.2022;Paypal;Einkauf Konfettikanonen LTT (Teil von PP Guthaben);-74,16 €;RG2022881946
26.07.2022;LTT Group GmbH (Paypal);Erstattung Konfettikanone LTT (Weil nicht lieferbar);35,56 €;
20.07.2022;CFM Fassaden GmbH;Sponsoring Sommerkino 2022;250,00 €;Nov 22
20.07.2022;ctw gesellschaft für kommunikationsdesign GmbH;Sponsoring Sommerkino 2022;300,00 €;14-2022
20.07.2022;TEAG;Sponsoring Sommerkino 2022;500,00 €;Mrz 22
15.07.2022;Rewe Mario Kachel OHG;Sponsoring Sommerkino 2022;200,00 €;Dez 22
15.07.2022;Paypal;Auszahlung Ticketverkäufe Website Sommerkino;216,15 €;41S31968F2388851M
13.07.2022;Paymorrow (Onlineprinters GmbH);Druckkosten Plakate A3 Sommerkino 2022 Opening;-28,26 €;R01000530090
13.07.2022;Japo Konzert & Veranstaltungs GmbH;Miete Stühle Sommerkino 2022;-303,45 €;20221189
11.07.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;31,30 €;V2J5I4
07.07.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;27,65 €;O0P2A4
05.07.2022;Haubold + Sperling GmbH;Miete Ticketdrucker Juli + August;-211,82 €;220793
05.07.2022;Paymorrow (Onlineprinters GmbH);Druckkosten Flyer A5 Sommerkino 2022;-36,78 €;R01000531557
05.07.2022;Paymorrow (Onlineprinters GmbH);Druckkosten Plakate A3 Sommerkino 2022 Programm;-28,26 €;R01000530105
05.07.2022;Stickerprinting Deutschland GmbH;Druckkosten Korrektursticker Sponsor Bauzaunplakate;-23,41 €;4135805
05.07.2022;WVV Gesellschaft Tambach-Dietharz;Sponsoring Sommerkino 2022;200,00 €;13-2022
04.07.2022;Deutsches Ehrenamt Service GmbH;Jahresbeitrag Deutsches Ehrenamt (Versicherung);-299,00 €;2022060408
29.06.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;31,06 €;Z8Z0X3
28.06.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;1,37 €;P2M1Z1
28.06.2022;Jahn GmbH;Sponsoring Sommerkino 2022;500,00 €;Jan 22
24.06.2022;AHG GmbH;Sponsoring Sommerkino 2022;1.000,00 €;Aug 22
20.06.2022;VR Bank Westthüringen eG;Sponsoring Sommerkino 2022;500,00 €;Okt 22
20.06.2022;Paymorrow (Onlineprinters GmbH);Druckkosten Bauzaun Plakate Sommerkino;-359,07 €;R01000514311
14.06.2022;Landratsamt Gotha;Gebühr Antrag Sperrzeitverkürzung;-60,00 €;2022-08-30-0039
14.06.2022;Constantin Filmverleih GmbH;Sicherheitsleistung Sommerkino 2022 (Werner);-500,00 €;2022-08-30-0038
14.06.2022;EJOT SE + Co KG;Sponsoring Sommerkino 2022;1.000,00 €;Sep 22
13.06.2022;Moritz Tanz (Christian Storch);Sponsoring Sommerkino 2022;300,00 €;Mai 22
13.06.2022;Wohnungbaugenossenschaft TD;Sponsoring Sommerkino 2022;250,00 €;Jun 22
13.06.2022;Moritz Tanz;Spende Sommerkino 2022;2.000,00 €;
10.06.2022;;Paypal Kontoaktivierung;0,01 €;
10.06.2022;Moritz Tanz;Rücküberweisung Testüberweisung;-1,00 €;
08.06.2022;Hendrik Schlupp;Sponsoring Sommerkino 2022;200,00 €;Apr 22
03.06.2022;Galvanotechnik Jens Holzapfel GmbH;Spende Sommerkino 2022;100,00 €;
03.06.2022;Moritz Tanz;Testüberweisung;1,00 €;
